item_name,item_image_url
Lebanese Chickpea Falafel Recipe - Healthy Non Fried Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/continental-food-recipes/Homemade_traditional_falafel_Recipe_40ac6160b0.jpg
Drumstick Leaves Ragi Roti Recipe - Moringa Millet Flat Bread,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-bread-recipes-roti-paratha-naan-puri/roti-recipes/Ragi_Roti_Paratha_Recipe_Mangalore_Karnataka_Cuisine_Breakfast_13_14080d8ff0.jpg
Chettinad Pakora Curry Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Chettinad_Pakoda_Curry_Recipe_a5c3d1d4d3.jpg
Eerulli Palya Recipe - Vengaya Poriyal Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/south-indian-vegetarian-recipes/poriyal-recipes-south-indian-sabzi/Eerulli_palya_recipe_Onion_Poriyal_Sabzi_recipe_1_6636b3f971.jpg
Karwar NKGSB Style Bharli Vangi Recipe - Brinjal Curry,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Karwar_Bharli_Vangi_Recipe_Bharva_Baingan_Stuffed_Brinjal_Recipe_2_ea375ed359.jpg
Cinnamon Welsh Cake Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/cake-recipes/Lemon_Welsh_Cake_Recipe_15_2_N_5b68025352.jpg
Polenta Pizza With Vegetables Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/pizza-recipes/Polenta_Pizza_topped_with_vegetables_03ec349ce4.jpg
Eggless Buttermilk Cinnamon Rolls Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/healthy-breakfast-recipes/Eggless_Buttermilk_Cinnamon_Rolls_1_724e23f45b.jpg
Vegetarian Sago Dumpling Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/indian-chinese-recipes/Sago_Dumpling_Veg_8ab594e844.jpg
Mooga Gathi (Sprouted Moong In Coconut Paste) Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Mooga_Gathi_8ba6229835.jpg
Homemade Mole Sauce Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/homemade-jams-sauce-pesto-recipes/Home_Made_Mole_Sauce_Recipe_b3a440e851.jpg
Mexican Omelette Recipe with Avocado Salsa ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/healthy-breakfast-recipes/omelette-recipes/Mexican_Omelette_Recipe_with_Avocado_Salsa_1_535a11c29a.jpg
Grilled Tofu Satay Recipe With Peanut Dipping Sauce,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/continental-party-appetizer-starter-recipes/Grilled_Tofu_Satay_Recipe_With_Peanut_Dipping_Sauce_2_78764fd8f4.jpg
Spicy Pressure Cooker Mutton Curry Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-non-veg-recipes/mutton-recipes/Spicy_Pressure_Cooker_Mutton_Curry_Recipe_2_297e975d5a.jpg
Mysore Style Avarekalu Rasam Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/south-indian-vegetarian-recipes/rasam-recipes/Mysore_Style_Avarekalu_Rasam_Recipe_259103b2f3.jpg
Roasted Peppers & Cheese Crostini Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/continental-party-appetizer-starter-recipes/Roasted_Peppers_and_Cheese_Crostini_Recipe_2_ee285e7bed.jpg
Goan Kaju Curry Recipe (Spicy Goan Cashew Nut Curry),https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Goan_Cashew_nut_curry_or_Kaju_Curry_68c7083913.jpg
Chettinad Style Kara Kuzhambu Recipe with Potato and Brinjal,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Chettinad_Style_Kara_Kuzhambu_Recipe_with_Potato_and_Brinjal_1_3214b1a630.jpg
Karnataka Style Huggi (Rice and Moong dal Savory Porridge),https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-rice-recipes/variety-rice-mixed-rice-flavoured-rice-recipes/Karnataka_Style_Huggi_Rice_and_Moong_dal_Savory_Porridge_6ffb9bdef3.jpg
Udupi Style Ash Gourd Coconut Curry Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Udupi_Style_Ash_Gourd_Coconut_Curry_Recipe_853bd1ba4a.jpg
Methi Bajra Poori Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-bread-recipes-roti-paratha-naan-puri/puri-recipes/Methi_Bajra_Poori_4b6d88b18e.jpg
Moongphali Bhindi Sabzi Recipe - Lady's Finger Peanut Stir Fry,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/north-indian-vegetarian-recipes/sabzi-recipes/Moongphali_Bhindi_recipe_Okra_Ladys_finger_with_peanuts_3_9c6d784d4f.jpg
Nargisi Kofta Curry Recipe - Spicy Scotched Egg Curry,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-non-veg-recipes/egg-recipes/Nargisi_Kofta_Curry_Spicy_scotched_egg_curry_64f70f7b2c.jpg
Asian Style Tofu in Spicy Orange Sauce Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/indian-chinese-recipes/Asian_Style_Tofu_in_Spicy_Orange_Sauce_c4bf9006da.jpg
Homemade Kashmiri Garam Masala Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/homemade-masala-powder-chutney-powder-recipes/Kashmiri_spice_mix_Masala_Powder_7c0fc5ef96.jpg
Hesarukalu Bele Kosambari Recipe | Tangy Sprouted Green Moong Dal Salad,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/side-dishes/indian-salad-recipes/Hesarukalu_Bele_Kosambari_Recipe_Sprouted_Green_Moong_With_Tadka_4_d763a17a84.jpg
Bendakaya Pulusu Recipe - Andhra Style Tangy Ladies Finger Curry,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/south-indian-vegetarian-recipes/kuzhambu-recipes/Andhra_Bendakaya_Pulusu_Recipe_Okra_Bhindi_Curry_16_39332c396e.jpg
Peerkangai Thogayal Recipe | Ridge Gourd Peel Chutney | Beerakaya Pachadi,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/side-dishes/indian-chutney-recipes/Ridge_Gourd_Peel_Chutney_Thogayal_Peerkangai_Recipe_1_8a65f065bb.jpg
Goan Style Mushroom Vindaloo Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Goan_Style_Mushroom_Vindaloo_Recipe_1_163034c3cb.jpg
Dhaba Style Dal Fry Recipe | Mixed Dal Tadka,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/north-indian-vegetarian-recipes/dal-recipes/Dhaba_Style_Dal_Fry_Mixed_Dal_Tadka_recipe_42909e476a.jpg
Goan Mushroom Xacuti Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Mushroom_Xacuti_recipe_Mushroom_Shaguti_Goan_recipe_2_8c44ff129c.jpg
Eggless Whole Wheat Plum Cake Recipe | Christmas Plum Cake,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/cake-recipes/Aashirvaad_Whole_Wheat_Plum_Cake_Christmas_Cake_recipe_Eggless_1_09808980be.jpg
"Pita Topped With Oven Roasted Cauliflower, Basil Avocado Sauce Recipe",https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/continental-food-recipes/Pita_Topped_With_Oven_Roasted_Cauliflower_Basil_Avocado_Sauce_2_4992bb5562.jpg
Crunchy Creamy Coleslaw Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/salad-recipes/Crunchy_Creamy_Coleslaw_Recipe_1_6074c0ffa3.jpg
Chamadumpa Vepudu Recipe - Andhra Style Colocasia Stir Fry | Arbi Sabzi,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/south-indian-vegetarian-recipes/poriyal-recipes-south-indian-sabzi/Andhra_Colacassia_Roast_Recipe_Chamadumpa_Vepudu_Recipe_5_567686d0ec.jpg
Mangalore Cucumber Chana Dal Subzi Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Mangalore_Cucumber_Chana_Dal_Subzi_Recipe_47db6059a6.jpg
